,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
551,Bird Feeders,Site-integrated work,In place,Over Grandview Cut,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=222,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7061bf191956346eff7061bdc047d9ac,Grandview-Woodland,Four galvanized bird feeders sited on railing posts.,1996,"49.26461, -123.0735"
552,Utility Pole,Sculpture,In place,37th & Oak,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=230,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/43774c18119f35b3b8206bde59604094,Shaughnessy,"""Garden rake"" sculptures mounted atop two cyclist-activated signal poles acknowledging the local gardening activities in the area, including Van Dusen Gardens.",1997,"49.237762, -123.127791"
553,Beautiful Banners on Victoria Dr.,Two-dimensional artwork,No longer in place,Victoria Drive from  39th to 49th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=258,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d0a99b5fbee9d02975d7f523f9fcfafe,Kensington-Cedar Cottage,Banners are installed along Victoria Drive  to beautify and mark the neighbourhood.,1999,"49.234972, -123.0654"
555,Traffic Circles,Site-integrated work,In place,"Garden Dr. at Oxford, Cambridge and Eton Sts.",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=282,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/59f53d15e25551e0279ca010dc19d977,Grandview-Woodland,Large boulders are installed as traffic circles in three intersections.  Reflectors are distributed on a 6'x6' grid throughout the intersection.,1997,"49.286618, -123.057708"
556,The Totems,Totem pole,In place,999 Canada Place Way,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=285,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/794bb19c9882ee7173401dac85a76b66,Downtown,"Current plaque text (12/2019):This pair of totems were carved by Art Sterritt, in the traditional Gitxsan style. The totem on the left features the crests of the Gispudwada (Killer Whale Clan) and depicts the killer whale, the octopus and the matriarch. The totem on the right contains crests of the Laxsgiik (Eagle Clan), including the beaver, the frog and the shark. Originally from Gitanmaax at Hazelton, BC, the totems were part of a collection commissioned by Sun Life of Canada, prior to their installation at the Museum of Vancouver and the Vancouver Convention Centre.",1972,"49.288027, -123.113251"
557,Navigation Device: Origin Unknown,Sculpture,In place,925 West Georgia,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=302,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5ae984033de717284f1f54cdac77dd51,Downtown,glass and found metal wall sculpture,1991,"49.284181, -123.120009"
558,Colour,Mosaic,In place,3096 East Hastings,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=306,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7028dc1624da54f291fb78033d768294,DowntownEastside,"The project includes a long, curvilinear retaining wall as well as a custom bench and a custom drinking fountain, each clad in colourful tile mosaics.",2001,"49.280674, -123.03489"
559,Unlimited Growth Increases The Divide,Site-integrated work,In place,555 Hamilton Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=311,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b3ba0c7aa6ea2fbb76bd2af04928e9f4,Downtown,"The text consists of 7"" copper letters above the entrance to the gallery. The text is cut from 1/4"" copper plate and installed in its original red metallic state, inviting a ""corporate"" reading. However, it will change with time and exposure, to a greenish, aged surface. The text will be visually assimilated into the existing green color of the building, and will remain permanently on the site.",1990,"49.281487, -123.112093"
560,Milky Way,Mosaic,In place,1300 West Georgia,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=313,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/51642c9a1a154120e95996a7c60caac9,West End,"Integrated into the public walkway through the Lions Developement at 1300 West Georgia, is a plaza incorporating fibre optic lights, mosaic swirls, and 3 large bronze castings of cargo ships seen from above. The lights, which are at grade level, define constellations in the night sky. The colorful swirls represent other galaxies and deep space objects, and the boats allude both to the actual cargo ships found in Vancouver's harbour and to mankind's use of the stars as navigation tools.     
Kerr's sculpture was commissioned by the developer of the site after a competition sanctioned by the Vancouver Public Art Committee. It has been integrated into the public plaza/walkway that runs diagonally through the site from the corner of Alberni and Broughton to the corner of Jervis and Georgia.
The work addresses pedestrian traffic through the walkway both during the day and as a completely different experience at night. It also allows opportunities for viewing the work from above from suites in the towers and from neighbouring towers.
""Milky Way"" has four elements layered into the work. The first is 39 colorful mosaic spiral galaxies scattered across the site. The brilliantly colorful mosaic tiles stand in marked contrast to the second element, colored stone aggregate which has been laid down in large abstract fiels and which represent the ""cosmic sea"". The third element is 170 fibre optic point lights, in four different intensities, which represent the stars in 36 constellations. These ""stars"" are each set into a black granite star shaped tile and each constellation is further defined by lines of polished brass set into the aggregate. The last element is three large bronze castings of cargo ships, commonly seen in Vancouver's harbour - a fishing trawler, a tug and gravel barge, and a BC ferry - all seen from above.
This work is both public and private, it welcomes both day and night viewing (in some sense providing its own light), and it enhances both public space and the developer's concerns for place making and site harmony. ""Milky Way"" is a successful example of Vancouver's public art program which has emphasized ""site specific"" public art instead of traditional sculpture.",1999,"49.288328, -123.127743"
561,Wilp,Totem pole,In place,285 East 5th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=319,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ff43c08fe7a728e5608187b3a5e8fab3,Mount Pleasant,"Unpainted portal pole carved in Nishga (Tsimshian) style. The pole's name, Wilp, means ""where the people gather."" Norman Tait's carving assistants were all family: brother, son, nephew, and cousin, and they are represented by the four faces around the entrance. Each man carved his own ""signature piece""; though similar, all are different. Tait's signature piece is the little bear cub.",1985,"49.266551, -123.09901"
563,Totem Pole (Langara College),Totem pole,In place,100 West 49th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=327,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/1ba12b546a6bac63bd97634d537cd70b,Oakridge,Culture Style: Haida,1990,"49.225138, -123.107627"
564,Mainly for the Birds,Mural,In place,100 West 15th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=331,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/12805218607b1a3c67f552427bd8b253,Mount Pleasant,"This project involved many ""bird-friendly"" education activities and resulted in a mural of painted wood panels with images of wild birds that inhabit the city in this area.",1999,"49.257173, -123.108382"
565,Royal Sweet Diamond,Sculpture,In place,475 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=332,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/dae991dabd85f35a6a6fc34a1c0c49e8,Downtown,"The life-size bronze bull called Royal Sweet Diamond stands in front of the BC Turf Building.  Saskatchewan's Joe Fafard,  is a favourite artist of Mr. Gordon Diamond, owner of the building. Fafard's bull replaces a more abstract figure of a horse, by the late jack Harman, sited there for many years.",2001,"49.281273, -123.115823"
566,Chinatown Millennium Gate,Gateway,In place,Pender Street at Taylor,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=343,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/345d115eae1fa8d8d84e74ffdd0f7455,DowntownEastside,"The gate demarcates the western entrance to historic Chinatown, and follows the Chinese traditional form of gate design, with one large central arch and two smaller ones.",2002,"49.280719, -123.105193"
567,Untitled (mosaic),Mosaic,In place,989 Nelson,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=351,,Downtown,A decorative mosaic of blue tiles in diamond shapes covers a large portion of the building.,1957,"49.280885, -123.125969"
568,Community Stepping Stones,Mosaic,In place,4397 West 2nd Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=360,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7e4be0052722e83408292eb9f057e974,West Point Grey,The artist worked with community members to create mosaics made of pebbles that are implanted at ground level. The mosaics can be found around the community centre and in other sites throughout the neighbourhood.,1997,"49.271797, -123.204533"
569,Oppenheimer Memorial Totem Pole,Totem pole,In place,"Powell and Cordova, Dunlevy and Jackson",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=368,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/da0721c7511ba01a5e5e783c28ed7c10,DowntownEastside,"The totem was carved using traditional techniques taught by a master carver. The pole was created in memory of ""lives that otherwise may have gone unrecorded."" - The Art of Neighbourhoods,  Park Board Brochure",1997,"49.28238, -123.094119"
570,Semaphores,Site-integrated work,In place,1233 West Cordova,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=374,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/03168abb92a080270437d4107725dd5a,Downtown,"Seventeen glass and aluminum gates designate the entranceways to the private suites. Each has a unique image inset into it, ranging from abstract forms to a representation of sailboats, water, and other images referring to the natural or social setting. The artist interviewed the townhouse residents to make the works personally relevant. The gateways embrace the idea of life as a passage. ( R. Laurence, The Art of Place, The Georgia Straight, June 5-12, 2003) The artist also created a large illuminated glass wall piece for the tower lobby.",2003,"49.28967, -123.123477"
572,Project for a Public Works Yard,Sculpture,In place,700 National Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=377,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a7928c930ae6c6e8377ac951d3f33047,Strathcona,"Greg Snider’s project brings together the various functions the works yard supports, and quotes them all in sculptural terms.  To best describe the work, imagine that someone cut a large rectangular block out of the street, then lifted the cross-section up. What was underground is now at eye level.  The fire hydrant is a cut-away exposing the valves and inner workings.  We can see the water mains, the sewer lines, where the storm drains lead, and the inside of manholes.  Above street level, the more familiar streetlights, parking meter and tree are no longer physically accessible.",2004,"49.273616, -123.09"
574,Sliding Edge,Site-integrated work,In place,500 Nicola Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=392,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ad3193ae7bf989dd67d36ca43348c113,Downtown,"""Along the seawall is a rough yet elegant waterfall of black rundle stone: the stacked, linear, irregular stone edges are abstractions of geological layers… Standing on top of the waterfall is an iconic, enigmatic human figure - man in the landscape, poised between the earth and the sky."" The text is from a poem by Earle Birney, November Walk Near False Creek Mouth. Along Hastings Street is another waterfall and black stone benches are scattered along the pool edge. Cast Iron tree grates are shaped like saw blades to remind viewers of the historic use of the area.",2003,"49.291259, -123.1275"
578,Untitled (light work),Site-integrated work,In place,1067 West Cordova Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=411,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8411675092b7a9fbffb14aa7b337b27b,Downtown,"A thin shaft of light emerges along the length of the 149m building at sunset. The LED light can be seen from a distance and changes from green to blue as it gets higher, reflecting the transition from earth to sky.",2005,"49.288318, -123.117871"
579,A Tale of Two Children: A Work for Strathcona,Two-dimensional artwork,In place,701 National Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=414,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a8a0793448794bbaaea55669bc5a7e58,Strathcona,"Two large aluminum frame panels are printed one side with an image and the other side with a text. One shows an unhappy caucasian boy and the text reads, ""What an idiot! What an idiot you are! What an utterly useless idiot you are!"". The other shows a smiling young Asian girl and an adult woman and the text reads, ""You so smart. You make me proud you so smart. I so proud you so smart.""",2005,"49.27515, -123.091885"
581,China Gate,Gateway,In place,50 East Pender,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=416,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/de6b271c24980d9a819376c25333ea3d,DowntownEastside,"This gate marks the 20th anniversary of the Sister City agreement between Vancouver and Guangzhou, Guangdong Province, China. It features carvings of four important legends or events in early Chinese History, together with traditional animals of good fortune. This gate replaces an earlier one which was part of the China Pavilion for Expo 86.",2005,"49.28033, -123.10316"
582,One in Light,Sculpture,In place,1169 West Cordova,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=421,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d13a9649519be5281a7cd60ae3efc16c,Downtown,"Eight stainless steel towers are anchored in the pond. They are filled with glass and resin chunks representing raw coal and rough diamonds. The ""diamonds"" have different colour hues and are illuminated at night with multi-coloured LEDs that produce white light but reflect a variety of colours. A grid of perforated pipes on the bottom of the pond release bubbles to represent a grid of streets. The patterning of the ""streets"" changes occasionally. The water is illuminated with a dark blue light.",2006,"49.289295, -123.1209"
584,People Amongst the People,Gateway,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=424,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cf5e294a6091907619047436c9d16cdb,Stanley Park,"These three beautifully carved red cedar portals are constructed to represent the traditional slant-roof style of Coast Salish architecture with carved welcome figures in the doorways. They are intended as a gesture of welcome to the traditional lands of the Coast Salish people of the area. The artworks reflect the history of these aboriginal people as well as the modern culture that still thrives. Three years in the making, the artworks were developed through collaboration with Coast Salish Arts; Vancouver Storyscapes (a City of Vancouver Social Planning project to encourage aboriginal people to share their stories through a variety of media); the Musqueam, Squamish, and Tsleil-Waututh First Nations; and the Vancouver Board of Parks and Recreation.",2008,"49.301064, -123.117"
585,Double Blind,Site-integrated work,In place,1120 East 7th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=436,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7b84f85de4210b0e0eef8abd08895493,Mount Pleasant,"Double Blind is a large-scale sculptural installation by Antonia Hirsch, commissioned for the atrium of the new Vancouver Community College’s Broadway Campus Phase One Expansion building. Spanning four stories of the building, Double Blind  translates a Snellen, or eye, chart into Braille by using dome mirrors in order to emulate the raised dots of Braille script.

Dome mirrors are endemic to public spaces and can be found in pedestrian underpasses, hospital corridors, and in commercial retail contexts. They are used for surveillance as well as for the prevention of collisions in pedestrian traffic flow. Public space is often highly contested since it must typically answer to the idealist demands of communal space while also satisfying the concerns for public safety that are frequently associated with control and surveillance. Like many atriums, the new Vancouver Community College’s interior public space has a panoptic tendency: emphasizing ‘insight’ into various interior spaces from specific vantage points. This panoptic tendency is echoed in the domed mirrors, each reflecting a 360° view of the surrounding space.

Double Blind deliberately and emphatically utilizes elements that are commonly found in public space and re-purposes them, thereby highlighting the quality of the space itself, rather than offering a pictorial escape from its reality. Double Blind queries the interlinked ideas of seeing and controlling, acknowledging the importance of the context in which information is acquired and processed, whether that context is a scientific doctrine, social matrix, or language system.

This sculptural work is accompanied by a T-shirt multiple that echoes the installation’s oxymoronic premise: those who can see the work likely don’t read braille, and those who read braille can probably not see the work.

On the back of each T-shirt, an eye chart is rendered in raised letters. Though reproduced in a colour identical to that of the shirt and thereby nearly invisible, the characters are tangible. Conversely, the front of each shirt mirrors the installation’s graphic arrangement in reflective foil, yet these braille dots are entirely two-dimensional, visible, but not available through touch.",2008,"49.264344, -123.0808"
586,The Drop,Sculpture,In place,1055 Canada Place (foot of Burrard Street),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=438,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/45b7fed50c89cf2939bad4d61feab16f,Downtown,"A large, gentle ""raindrop"" captured in its descent at the moment of contact.",2009,"49.289384, -123.114089"
588,THE WORDS DON’T FIT THE PICTURE,Sculpture,Deaccessioned,350 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=450,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7df258ff920490e83b88261dfdc12503,Downtown,"A large freestanding, three-dimensional sign with soft domed LED light nodes set within Las Vegas style letter boxes spelling the phrase THE WORDS DON&quot;T FIT THE PICTURE. The lights change colour with a computer programmed sequence.

This work was officially deaccessioned June 2020 after careful review of the artwork condition and pending changes to the plaza location. Nearly all of the electrical components had reached the end of their life expectancy. More importantly, restoration and reconfiguring costs were determined to be significantly higher than the original budget when factoring in repositioning expenses that would be required due to upcoming changes to the plaza.

The City of Vancouver strives to acquire and commission works of art of the highest quality. Acquisition by the City implies a commitment to the preservation, protection and maintenance of artwork for the public benefit and implies permanency within the collection. As such, deaccessioning is a serious consideration requiring careful planning and adherence to the conditions set out in our Deaccession Policy.

https://vancouver.ca/files/cov/PublicArt-DeaccessionGuidelines.pdf",2010,"49.279552, -123.116458"
589,Ice Light,Site-integrated work,In place,453 West 12th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=453,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c781ff12606962120643218f1b5548ad,Mount Pleasant,"At the edges of the buidling white LED light lines are installed. Every hour a visual spectacle takes place—as it is well-known of historic City Halls: Over a period of 1 minute the white lines are set in motion so that they appear like a water fall of light. Afterwards calm is restored: The frozen light lines accentuate the horizontal, downwelling character of the building. The work refers to Vancouvers' special characteristic: a modern industrial city surrounded by wild and pristine nature.",2010,"49.260791, -123.113986"
591,The Birds,Sculpture,In place,1 Athletes Way,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=456,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/35fc547295e694b500a7d7b99b2eda0e,Mount Pleasant,"Vancouver artist Myfanwy MacLeod has always been interested in the ability of public art to convey political and historical meaning. The Birds, her artwork for Southeast False Creek Olympic Plaza, sits on the last large tract of available waterfront near downtown Vancouver and has been shaped by this new community’s focus on sustainability. The work attempts to highlight both the lighter and graver sides of what can happen when a non-native species is introduced to an environment, how the beauty of birds can sometimes mask their threat to biodiversity.",2010,"49.271428, -123.106698"
592,Salish North Star in Maple Leaf,Sculpture,In place,1 Athletes Way,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=458,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b086d15315394dcc6118468dbc63cc00,Mount Pleasant,This artwork combines a contemporary coast salish north star design within a Canadian maple leaf.,2010,"49.272196, -123.106964"
593,Bright Futures,Sculpture,In place,"Killarney Community Centre, 6260 Killarney Street",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=463,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6de4e323361478f35363400060212123,Killarney,"A sandblasted glass whorl on a stainless steel base, the design is a Salish face as the central figure surrounded by larger triangles that represent athletes of today. The smaller faces represent our future athletes.",2010,"49.22695, -123.044018"
594,Aperture Project - Contingent Matters,Two-dimensional artwork,No longer in place,300 West Georgia Street (Downtown),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=469,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ae216e564af4b30c9088a3fe00c8a76e,Downtown,Six text-based banners,2011,"49.279698, -123.115556"
595,Passage,Media work,No longer in place,206 Carrall Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=471,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0049c0f5562814d97639b6d6a7616f01,DowntownEastside,Sculptural light installation,2010,"49.282989, -123.103934"
596,World Tea Party,Socially engaged art,No longer in place,2 West Hastings,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=477,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/03ba7de1d97c7b7b43af494eea2c4f3f,DowntownEastside,"Animated by lead-artist Bryan Mulvill, Centre A hosted the World Tea Party, a social, interactive gathering space that acts as a work of art. For the Vancouver installation of this international f&ecirc;te, the gallery welcomes visitors into a form of &ldquo;social sculpture&rdquo;. Tea was offered for free both inside the gallery and on the street, while video projections were shown on the building&rsquo;s exterior windows. Internet technology connected Centre A with tea parties in other world cities, including Montr&eacute;al, Yokohama, Vienna and Calcutta. Skwxumesh First Nations artist Cease Wyss contributed a First Nations welcome event featuring indigenous local teas. The traditoonal Japanese tea ceremonies were presented by Urasenke Vancouver. The relaxed atmosphere of the World Tea Party encourages conversation and informal performance.",2010,"49.281317, -123.105123"
597,We are watching,Media work,No longer in place,1 East Cordova Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=480,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/00a5b5e47d47817e810f372f701cafe0,DowntownEastside,"We are watching is an installation piece that has two component in two different locations. One component is a large-scale, outdoor, public projection projection of unedited Olympic video clips. The audience can view the projection from the sidewalk outside the gated courtyard that is situated between buildings at 1 and 57 East Cordova Street. The security camera provides real-time surveillance of this audience and this surveillance is then projected into the Jeffrey Boone Gallery space.",2010,"49.282576, -123.103734"
598,Procession of Performing Circles,Socially engaged art,No longer in place,21 E Pender Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=481,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0ce45065e8bfc569c76f67e570c28b31,DowntownEastside,"A parade of 6 groups performing dance routines (Circle Dances), led by a Parade Marshall, with other artists giving out gifts of stick lights or carrying signs. The sign carriers asked spectators “What do you wish for Vancouver in the future?” They then wrote the replies on their signs and carried them in the procession. There was also a projector mounted on a Chinese bicycle rickshaw that projected archival photographs of the building along the route intercut with portrait shots of current people in front of the same buildings.",2010,"49.28065, -123.104079"
599,Makeshift,Media work,No longer in place,"6 East Cordova Street, Vancouver, BC (Downtown Eastside)",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=482,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a46197b95f5a6f674995854e659aeb5a,DowntownEastside,Two projections that reflected the process of a year long project called Makeshift. This dusk to dawn installation was visible to all passers by in the form of a circular backlit window projection.,2010,"49.282107, -123.103728"
606,"Aperture Project - Red, Blue and Yellow (2007)",Two-dimensional artwork,No longer in place,350 West Georgia Street (Downtown),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=510,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f9e096af6dbc1ae7d85b1c239e218759,Downtown,,2007,"49.279698, -123.115556"
607,To Connect (Metro Vancouver Pump Station),Site-integrated work,In place,111 Alexander Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=520,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0c2521176ffd3e25f987989588a6d75a,DowntownEastside,,2008,"49.284133, -123.1018"
608,Terry Fox Memorial,Memorial or monument,In place,Corner of Beatty and Robson,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=524,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/096cae4c5a9d93d9be479635c3139aa4,Downtown,Four bronze figures in sequence transforming from life-size to twice life size.,2011,"49.277434, -123.113959"
610,Whaling Wall,Mural,No longer in place,1290 Granville Street (Downtown),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=527,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5ab390e2f92c41912c1f235b25be5f7c,Downtown,"The 7,200 square foot mural is a depiction of orcas.",1994,"49.276384, -123.1276"
611,Memento (Poodle),Sculpture,In place,3333 Main Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=530,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/90b2c9e734dd478d76124ab78b581af7,RileyPark,"Memento is comprised of ""Untitled (Poodle)"", a sculpture located at Main Street and 18th Avenue, and a suite of temporary artworks in and on three trolley buses which ran on the #3 Main bus routes in 2012. ""Memento – Pink"" completely wrapped an articulated trolley in a knit cozy of a pink poodle and included an interior card inside the trolley that referenced a how-to book from the 1960s for making wool poodle cozies. ""Memento – Envy"", installed on the outside of a second trolley, was a panel which depicted a group of poodle cozies made for bottles looking with longing and jealousy at a porcelain poodle figurine - suggesting the class and cultural differences that historically have marked Main Street. This second trolley also featured three thematically related interior cards in which knit figures act as the dramatis personae.
""Memento – Multo"", inside a third trolley, featured a set of twenty-two interior cards depicting over 100 different examples of the modest but culturally and aesthetically interesting objects that can be found in shops along Main’s 88 Blocks.",2012,"49.254946, -123.101234"
614,Writing to You,Sculpture,In place,620 Beatty Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=535,,Downtown,"This artwork is inspired by over 800 letters that were exchanged between Major Lloyd Augustus of the British Columbia Regiment (Duke of Connaught's Own) and his wife Mary Augustus, while Lloyd was stationed overseas.",2007,"49.279606, -123.1107"
615,Capturing the View,Sculpture,In place,277 Thurlow Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=539,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8b8c0ca25b966e91bd468b13f3cf3667,Downtown,Three tapered sculptures reach upwards and outward to capture and absorb Vancouver vistas for pedestrians - vistas typically seen only from Coal Harbour penthouses,2012,"49.288707, -123.118827"
616,Calm,Site-integrated work,No longer in place,1128 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=543,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c79c5a64d8deebaa704cf6012e2bc894,West End,,2013,"49.285762, -123.123947"
619,Chinatown Memorial Monument,Memorial or monument,In place,Keefer and Columbia,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=548,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/75d0d938125a820f0d22e50965f482f3,DowntownEastside,The statues of an 1880&#39;s railway worker and a World War II soldier are errected to commemmorate the contributions made by Chinese Canadians to Vancouver and Canada. The main column refers to a Chinese character for &quot;the centre.&quot;,2003,"49.27961, -123.09171"
622,Western Han Dynasty Bell,Memorial or monument,In place,Centre of Shanghai Alley - Allan Yip Circle,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=553,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a326732fd6960c32ad2e9644a3b48228,DowntownEastside,This landscape design piece was gifted to the citizens of Vancouver from the city of Guangzhou to commemorate the 15th anniversary of the twinning of the two cities. The Western Han Dynasty BelI marks the location of the first Chinese settlement in the lower mainland of BC. It is a replica of one unearthed in 1983 during an excavation in Guangzhou. The original bell dates back over two millennia and symbolizes the age of settlement in the Pearl River delta in Guangzhou.,2001,"49.280031, -123.1051"
